,player_name,school,conference,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,2PM,2PA,2P_per,3PM,3PA,3P_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec-rk,ast/tov,rimmade,rimmade + rimmiss,midmade,midmade + midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+mismiss),dunksmade,dunksmiss + dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos
44530,Stephen Zimmerman Jr.,UNLV,MWC,25,51.8,94.6,21.9,47.3,50.99,9.0,26.1,6.5,19.5,63,99,0.636,91,189,0.481,4,16,0.25,7.2,1.0,48.3,Fr,7-0,33,1.06503,98.9104,4.7,2016,41574,all,98.0,0.40384616,56.0,95.0,35.0,94.0,0.5895,0.3723,17.0,19.0,0.8947,41.0,93.7352,91.3558,3.35042,160.086,-0.09633119999999999,-3.76918,3.67285,0.743262,26.32,-1.14222,1.88548,2.2,6.48,8.68,0.84,0.48,1.92,10.28,C
44563,O.G. Anunoby,Indiana,B10,34,33.2,114.2,17.6,62.5,60.68,11.4,11.7,6.6,19.7,20,42,0.47600000000000003,53,87,0.609,13,29,0.448,5.6,3.4,36.2,Fr,6-8,3,1.26418,113.636,4.5,2016,41594,all,41.4,0.64286582,49.0,74.0,4.0,12.0,0.6622,0.33330000000000004,24.0,24.0,1.0,23.0,96.7728,92.4393,1.73042,101.575,7.9551300000000005,3.58777,4.36735,6.96704,13.7059,3.37793,3.58911,1.2353,1.4118,2.6471,0.5294,0.7941,0.7647,4.8529,Wing F
44564,OG Anunoby,Indiana,B10,16,28.9,115.6,20.5,61.5,61.12,8.5,16.1,11.0,18.0,27,48,0.5630000000000001,54,77,0.7010000000000001,14,45,0.311,5.5,3.0,39.3,So,6-8,3,2.7328900000000003,118.77,3.3,2017,41594,all,41.4,0.8846153800000001,49.0,63.0,5.0,14.0,0.7778,0.35710000000000003,27.0,29.0,0.931,23.0,98.5464,95.1539,2.8997200000000003,88.5137,8.72022,4.65725,4.06298,7.84486,25.125,4.84854,2.99632,1.75,3.6875,5.4375,1.4375,1.3125,1.3125,11.0625,Wing F
44603,John Collins,Wake Forest,ACC,33,66.5,124.8,29.2,62.2,65.76,16.4,25.7,4.5,13.2,164,220,0.745,234,375,0.624,0,1,0.0,6.6,1.3,58.5,So,6-10,20,5.45322,146.0,4.5,2017,41627,all,63.2,0.27871248,168.0,223.0,66.0,149.0,0.7534000000000001,0.443,59.0,62.0,0.9516,19.0,103.87,97.0491,2.94366,198.91,6.78591,5.72858,1.05733,9.24487,26.6061,9.04855,0.196315,3.7576,6.0606,9.818200000000001,0.5152,0.6364000000000001,1.5758,19.1515,C
44735,Raymond Spalding,Louisville,ACC,30,42.3,109.2,17.6,56.4,55.74,11.0,17.4,5.4,17.5,28,56,0.5,69,122,0.5660000000000001,1,3,0.333,4.5,3.2,44.8,Fr,6-10,13,1.30258,108.408,5.0,2016,41745,all,91.8,0.59255555,55.0,78.0,14.0,44.0,0.7051000000000001,0.31820000000000004,24.0,27.0,0.8889,56.0,87.4938,82.2806,2.83446,118.998,6.27877,0.820635,5.45813,5.9599400000000005,17.5,1.25533,4.70461,1.6667,2.6667,4.3333,0.5333,0.9333,0.6667000000000001,5.6333,PF/C
44737,Ray Spalding,Louisville,ACC,36,68.2,111.8,23.5,55.0,56.76,13.3,20.9,9.6,15.1,73,114,0.64,178,318,0.56,5,19,0.263,6.3,3.1,33.8,Jr,6-10,13,3.31152,122.456,4.3,2018,41745,all,91.8,0.75413126,123.0,183.0,55.0,134.0,0.6721,0.41040000000000004,44.0,50.0,0.88,56.0,91.6831,87.0284,4.0126,252.05,8.55591,3.00336,5.55255,7.30317,27.6389,3.70864,3.59453,3.1389,5.5278,8.6667,1.2778,1.5,1.7222,12.3333,C
44739,Dwayne Bacon,Florida St.,ACC,35,72.0,108.4,27.4,51.0,54.37,4.0,11.9,11.6,14.1,104,138,0.754,164,318,0.516,57,171,0.333,0.4,1.9,28.2,So,6-7,4,3.58533,122.81,2.2,2017,41746,all,96.8,0.85916397,94.0,150.0,70.0,167.0,0.6267,0.4192,22.0,26.0,0.8462000000000001,40.0,102.343,95.5726,3.33395,177.268,2.95488,3.11112,-0.156242,4.75307,28.8,4.3554,0.39766399999999996,1.0,3.2,4.2,1.7429000000000001,1.0,0.1143,17.2286,Wing G
44744,Terance Mann,Florida St.,ACC,37,78.3,119.6,18.4,55.7,60.3,9.1,14.3,15.6,17.3,98,124,0.79,117,214,0.547,30,77,0.39,1.2,1.2,42.6,Sr,6-7,14,4.04749,123.696,2.8,2019,41748,all,80.2,1.44609509,107.0,165.0,10.0,49.0,0.6485000000000001,0.2041,38.0,41.0,0.9268000000000001,48.0,98.8553,93.1841,3.82972,203.024,8.34472,5.16998,3.17474,6.67315,31.7297,4.58831,2.08485,2.4865,4.0,6.4865,2.5404999999999998,0.6757000000000001,0.32430000000000003,11.4054,Wing F
44745,Malik Beasley,Florida St.,ACC,34,74.3,114.9,23.0,54.1,58.29,5.0,15.1,9.8,14.0,104,128,0.8130000000000001,130,251,0.518,55,142,0.387,0.6000000000000001,1.8,32.6,Fr,6-5,5,3.83757,124.176,3.0,2016,41749,all,92.4,0.86440388,87.0,129.0,43.0,122.0,0.6744,0.35250000000000004,23.0,25.0,0.92,19.0,104.037,98.7372,3.11598,182.98,4.21408,4.06388,0.150193,5.34693,29.8235,4.91316,0.433774,1.2941,4.0,5.2941,1.5,0.9412,0.17650000000000002,15.5588,Wing G
44747,Donovan Mitchell,Louisville,ACC,34,80.1,114.4,23.3,49.8,53.4,3.7,12.9,16.0,12.7,87,108,0.806,101,218,0.463,80,226,0.354,1.7000000000000002,3.7,24.3,So,6-3,45,4.31111,125.688,3.2,2017,41754,all,94.4,1.66067641,64.0,116.0,37.0,101.0,0.5517000000000001,0.3663,9.0,13.0,0.6923,13.0,93.2413,86.2419,4.74913,232.285,10.0466,6.17702,3.86963,10.1032,32.2941,5.4109,4.6923200000000005,1.0882,3.7647,4.8529,2.7353,2.0588,0.5,15.5588,Combo G
44980,Derrick White,Colorado,P12,33,81.6,121.1,25.9,58.1,62.67,3.5,10.7,28.3,16.6,140,174,0.805,147,258,0.5700000000000001,57,142,0.401,4.8,2.2,43.5,Sr,6-5,21,5.32304,133.944,2.7,2017,41996,all,,1.8271071,96.0,142.0,51.0,115.0,0.6761,0.4435,7.0,7.0,1.0,29.0,103.201,99.8096,3.29774,207.998,9.57359,7.08149,2.4921,11.7116,32.8235,8.8592,2.85244,1.0294,3.0588,4.0882,4.3529,1.2353,1.4412,18.0882,Scoring PG
45127,Admiral Schofield,Tennessee,SEC,36,78.2,109.2,24.4,54.8,56.23,4.5,16.3,11.7,14.4,60,86,0.6980000000000001,159,317,0.502,73,173,0.422,1.7000000000000002,1.6,17.6,Sr,6-6,5,3.90105,122.367,3.2,2019,42130,all,50.0,1.0714097,84.0,133.0,75.0,183.0,0.6316,0.4098,18.0,21.0,0.8571000000000001,42.0,100.172,94.3501,3.7011000000000003,219.529,5.1565,4.08716,1.06935,5.48499,31.7838,4.60307,0.881925,1.1622,4.973,6.1350999999999996,2.027,0.8919,0.4595,16.4865,Wing F
45749,Skal Labissiere,Kentucky,SEC,36,39.0,105.5,20.9,51.6,54.0,7.3,14.6,3.6,16.3,41,62,0.661,98,188,0.521,0,2,0.0,10.3,0.9,32.6,Fr,6-11,1,1.39181,112.689,7.6,2016,42780,all,99.8,0.33336968,37.0,56.0,61.0,132.0,0.6607000000000001,0.4621,26.0,31.0,0.8387,28.0,95.6059,91.4025,2.03132,118.717,5.09141,0.09297939999999999,4.99843,2.10278,15.75,-1.34855,3.45133,0.9722000000000001,2.1667,3.1389,0.30560000000000004,0.25,1.6389,6.5833,C
45951,Henry Ellenson,Marquette,BE,33,82.6,103.4,25.8,48.0,53.35,7.8,24.1,11.0,15.0,143,191,0.749,164,331,0.495,30,104,0.28800000000000003,4.4,1.4,43.9,Fr,6-11,13,3.20265,114.888,3.0,2016,42990,all,98.4,0.75643085,69.0,112.0,95.0,218.0,0.6161,0.4358,5.0,6.0,0.8333,18.0,98.465,95.0069,3.91125,242.461,3.40958,1.12219,2.2873900000000003,3.4322,33.5455,2.58981,0.8423889999999999,2.1515,7.5758,9.7273,1.7879,0.8485,1.4848,17.0,PF/C
